location,name,,website_url,,,membership_status,public_hrs,,,phone,type,lights,courts,
Agincourt Park,Agincourt Tennis Club,Club:,http://www.agincourttennisclub.ca,http://www.agincourttennisclub.ca/,Membership:,Open,Sundays 2 p.m. - 4 p.m.,Tuesdays 4 p.m. - 6 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=27%20%20Glen%20Watford%20Dr%20&lat=43.7882598434&lng=-79.2749181798&zoom=15,311,Club,Yes,4,
Alamosa Park,Bridlebrook Tennis Club,Club:,http://www.nyta.org,http://www.nyta.org/,Membership:,Open,,,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=111%20%20Alamosa%20Dr%20&lat=43.7810883366&lng=-79.3695581505&zoom=15,416-496-0225,Club,No,3,
Banbury Park,Banbury Tennis Club,Club:,http://www.banburytennisclub.net,http://www.banburytennisclub.net/,Membership:,Open,Sundays 2 p.m. - 5 p.m.,Saturdays 2 p.m. - 5 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=120%20%20Banbury%20Rd%20&lat=43.7427740036&lng=-79.3698734894&zoom=15,416-443- 0941,Club,Yes,4,
Beaches Park,Kew Gardens Tennis Club,Club:,http://www.kewgardenstennis.ca,http://www.kewgardenstennis.ca/,Membership:,Open,Sundays 4 p.m. - 10 p.m.,,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=2075%20Queen%20St%20E&lat=43.6661298729&lng=-79.2985090973&zoom=15,416-699-1635,Club,Yes,10,
Bellbury Park,Bellbury Tennis Club,Club:,http://www.bellburytennisclub.com,http://www.bellburytennisclub.com/,Membership:,Open,Sundays 12 p.m. - 3 p.m.,Saturdays 12 p.m. - 3 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=55%20%20Van%20Horne%20Ave.%20&lat=43.7836678733&lng=-79.3613025515&zoom=15,416-806-0654,Club,Yes,5,
Bennington Heights Park,Bennington Heights Tennis Club,Club:,http://www.benningtonheightstennis.org,http://www.benningtonheightstennis.org/,Membership:,Open,Saturdays 8 p.m. - 11 p.m.,Sundays 8 p.m. - 11 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=465%20%20Heath%20St%20E&lat=43.6950046581&lng=-79.3695658694&zoom=15,311,Club,Yes,2,
Bond Park,"Nyta Winter Tennis Club,The Don Mills Tennis Club",Club:,http://www.nywintertennisclub.com,http://www.nywintertennisclub.com/,Membership:,Open,Saturdays 9 p.m. - 11 p.m.,Sundays 8 a.m. - 10 a.m. and 9 p.m. - 11 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=120%20%20Bond%20Ave%20&lat=43.7464153718&lng=-79.3512499027&zoom=15,416 444-7311,Club,Yes,6,
Botany Hill Park,Botany Hill Park,Club:,,,,,,,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=277%20%20Orton%20Park%20Rd%20&lat=43.7781008052&lng=-79.2115040427&zoom=15,311,Club,Yes,4,
Bridlewood Park,Bridlewood Tennis Club,Club:,http://www.bridlewoodtennis.ca,http://www.bridlewoodtennis.ca/,Membership:,Open,Saturdays 4 p.m. - 7 p.m.,Sundays 4 p.m. - 7 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=445%20%20Huntingwood%20Dr%20&lat=43.7829182599&lng=-79.3162401527&zoom=15,311,Club,Yes,3,
Broadlands Park,O'Connor Hills Tennis Club,Club:,http://www.oconnorhillstennis.com,http://www.oconnorhillstennis.com/,Membership:,Open,Saturdays 3 p.m. - 6 p.m.,Sundays 3 p.m. - 6 p.m.,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-park-recreation-facilities/parks-and-recreation-facilities/parks-and-community-recreation-centres-map/%22#location=19%20%20Castlegrove%20Blvd%20&lat=43.7459134839&lng=-79.321292499&zoom=15,416-707-5930,Club,Yes,4,
